Timestamp,Device Name,Start Time,End Time,Duration (s),Flow Rate (L/min),Volume Used (L),Event ID,Occupants,Anomaly
2023-11-26 1:27,toilet_2,1:27:02,1:27:02,0,0,6.192794457,EVT00057,3,1
2023-11-26 7:16,toilet_2,7:16:14,7:16:14,0,0,5.776439557,EVT00058,3,1
2023-11-26 7:18,toilet_2,7:18:14,7:18:14,0,0,5.780190519,EVT00059,3,1
2023-11-26 8:14,toilet,8:14:03,8:14:03,0,0,6.114182428,EVT00048,3,1
2023-11-26 9:06,toilet,9:06:37,9:06:37,0,0,6.117724731,EVT00049,3,1
2023-11-26 9:27,toilet_2,9:27:26,9:27:26,0,0,5.918802491,EVT00062,3,1
2023-11-26 9:38,toilet_2,9:38:37,9:38:37,0,0,5.930231466,EVT00061,3,1
2023-11-26 9:40,toilet,9:40:44,9:40:44,0,0,6.123293189,EVT00050,3,1
2023-11-26 9:42,toilet_2,9:42:43,9:42:43,0,0,5.70472727,EVT00060,3,1
2023-11-26 10:17,toilet,10:17:27,10:17:27,0,0,6.252569773,EVT00051,3,1
2023-11-26 11:02,toilet_2,11:02:42,11:02:42,0,0,6.204084156,EVT00063,3,1
2023-11-26 11:15,toilet,11:15:45,11:15:45,0,0,5.957853012,EVT00052,3,1
2023-11-26 11:15,toilet_2,11:15:55,11:15:55,0,0,5.777166416,EVT00064,3,1
2023-11-26 12:41,toilet_2,12:41:23,12:41:23,0,0,6.212691625,EVT00065,3,1
2023-11-26 13:14,toilet_2,13:14:42,13:14:42,0,0,5.800824066,EVT00066,3,1
2023-11-26 14:26,toilet,14:26:14,14:26:14,0,0,6.096678842,EVT00053,3,1
2023-11-26 18:15,toilet_2,18:15:17,18:15:17,0,0,5.812134368,EVT00068,3,1
2023-11-26 18:42,toilet_2,18:42:19,18:42:19,0,0,5.796355061,EVT00067,3,1
2023-11-26 18:56,toilet,18:56:49,18:56:49,0,0,5.92494544,EVT00054,3,1
2023-11-26 19:26,toilet,19:26:16,19:26:16,0,0,5.857683856,EVT00055,3,1
2023-11-26 19:38,toilet_2,19:38:25,19:38:25,0,0,5.992526689,EVT00069,3,1
2023-11-26 19:47,toilet_2,19:47:18,19:47:18,0,0,5.919896653,EVT00070,3,1
2023-11-26 20:20,toilet,20:20:46,20:20:46,0,0,6.270132514,EVT00056,3,1
2023-11-26 21:08,toilet_2,21:08:02,21:08:02,0,0,6.212825184,EVT00072,3,1
2023-11-26 21:28,toilet_2,21:28:30,21:28:30,0,0,6.058445258,EVT00071,3,1
2023-11-27 2:39,toilet,2:39:07,2:39:07,0,0,6.096958756,EVT00112,3,1
2023-11-27 4:15,toilet,4:15:58,4:15:58,0,0,5.738744764,EVT00113,3,1
2023-11-27 8:13,toilet,8:13:05,8:13:05,0,0,6.21103012,EVT00114,3,1
2023-11-27 8:56,toilet_2,8:56:36,8:56:36,0,0,6.022726844,EVT00122,3,1
2023-11-27 9:00,toilet,9:00:43,9:00:43,0,0,5.892727238,EVT00115,3,1
2023-11-27 9:38,toilet,9:38:08,9:38:08,0,0,5.713575505,EVT00116,3,1
2023-11-27 9:54,toilet_2,9:54:48,9:54:48,0,0,5.904279302,EVT00123,3,1
2023-11-27 10:12,toilet_2,10:12:13,10:12:13,0,0,6.094709072,EVT00124,3,1
2023-11-27 10:55,toilet,10:55:20,10:55:20,0,0,6.110903781,EVT00117,3,1
2023-11-27 12:02,toilet,12:02:07,12:02:07,0,0,6.290524727,EVT00118,3,1
2023-11-27 17:15,toilet_2,17:15:07,17:15:07,0,0,5.84335984,EVT00125,3,1
2023-11-27 17:58,toilet,17:58:56,17:58:56,0,0,6.243104527,EVT00119,3,1
2023-11-27 19:16,toilet_2,19:16:20,19:16:20,0,0,5.964134961,EVT00126,3,1
2023-11-27 20:11,toilet_2,20:11:11,20:11:11,0,0,6.231082042,EVT00128,3,1
2023-11-27 20:14,toilet,20:14:56,20:14:56,0,0,6.166618253,EVT00120,3,1
2023-11-27 20:23,toilet,20:23:16,20:23:16,0,0,6.24082534,EVT00121,3,1
2023-11-27 20:43,toilet_2,20:43:23,20:43:23,0,0,6.03525053,EVT00127,3,1
2023-11-28 3:16,toilet_2,3:16:33,3:16:33,0,0,6.265799057,EVT00184,3,1
2023-11-28 4:40,toilet_2,4:40:48,4:40:48,0,0,6.066655031,EVT00185,3,1
2023-11-28 7:03,toilet,7:03:31,7:03:31,0,0,5.884163474,EVT00175,3,1
2023-11-28 7:24,toilet_2,7:24:37,7:24:37,0,0,5.73298042,EVT00186,3,1
2023-11-28 7:52,toilet,7:52:50,7:52:50,0,0,6.29310009,EVT00176,3,1
2023-11-28 8:23,toilet,8:23:22,8:23:22,0,0,6.116387498,EVT00178,3,1
2023-11-28 8:26,toilet,8:26:34,8:26:34,0,0,6.197557495,EVT00177,3,1
2023-11-28 9:06,toilet,9:06:06,9:06:06,0,0,5.769378982,EVT00179,3,1
2023-11-28 9:28,toilet_2,9:28:29,9:28:29,0,0,6.124855363,EVT00187,3,1
2023-11-28 13:10,toilet_2,13:10:29,13:10:29,0,0,6.255801949,EVT00188,3,1
2023-11-28 13:28,toilet_2,13:28:11,13:28:11,0,0,5.990332833,EVT00189,3,1
2023-11-28 16:31,toilet_2,16:31:16,16:31:16,0,0,6.22359113,EVT00190,3,1
2023-11-28 17:08,toilet_2,17:08:37,17:08:37,0,0,6.117986949,EVT00191,3,1
2023-11-28 17:37,toilet_2,17:37:07,17:37:07,0,0,5.864217798,EVT00193,3,1
2023-11-28 17:49,toilet_2,17:49:32,17:49:32,0,0,5.972691857,EVT00192,3,1
2023-11-28 18:30,toilet,18:30:10,18:30:10,0,0,6.227802801,EVT00180,3,1
2023-11-28 19:18,toilet_2,19:18:16,19:18:16,0,0,5.953170102,EVT00194,3,1
2023-11-28 19:27,toilet_2,19:27:21,19:27:21,0,0,5.893573716,EVT00195,3,1
2023-11-28 19:54,toilet_2,19:54:47,19:54:47,0,0,6.264914188,EVT00196,3,1
2023-11-28 20:17,toilet_2,20:17:50,20:17:50,0,0,5.965651883,EVT00198,3,1
2023-11-28 20:28,toilet_2,20:28:51,20:28:51,0,0,6.263438254,EVT00197,3,1
2023-11-28 20:34,toilet,20:34:48,20:34:48,0,0,6.106106169,EVT00181,3,1
2023-11-28 21:51,toilet,21:51:56,21:51:56,0,0,6.25465917,EVT00182,3,1
2023-11-28 23:01,toilet,23:01:43,23:01:43,0,0,6.036399948,EVT00183,3,1
2023-11-29 2:19,toilet,2:19:39,2:19:39,0,0,6.07683165,EVT00243,3,1
2023-11-29 4:43,toilet,4:43:36,4:43:36,0,0,5.922745267,EVT00244,3,1
2023-11-29 5:26,toilet,5:26:42,5:26:42,0,0,5.97581411,EVT00245,3,1
2023-11-29 6:13,toilet,6:13:43,6:13:43,0,0,6.265174996,EVT00247,3,1
2023-11-29 6:22,toilet_2,6:22:56,6:22:56,0,0,5.83315625,EVT00260,3,1
2023-11-29 6:23,toilet,6:23:03,6:23:03,0,0,5.820887644,EVT00246,3,1
2023-11-29 6:49,toilet_2,6:49:43,6:49:43,0,0,5.910077371,EVT00259,3,1
2023-11-29 6:55,toilet,6:55:51,6:55:51,0,0,5.878424587,EVT00248,3,1
2023-11-29 7:24,toilet_2,7:24:32,7:24:32,0,0,5.717293996,EVT00261,3,1
2023-11-29 8:06,toilet,8:06:06,8:06:06,0,0,6.095776464,EVT00251,3,1
2023-11-29 8:23,toilet_2,8:23:48,8:23:48,0,0,5.787314024,EVT00263,3,1
2023-11-29 8:29,toilet,8:29:19,8:29:19,0,0,5.850883933,EVT00250,3,1
2023-11-29 8:41,toilet_2,8:41:55,8:41:55,0,0,5.744908669,EVT00262,3,1
2023-11-29 8:42,toilet,8:42:05,8:42:05,0,0,6.235852697,EVT00249,3,1
2023-11-29 9:07,toilet_2,9:07:10,9:07:10,0,0,5.858564992,EVT00264,3,1
2023-11-29 12:19,toilet,12:19:39,12:19:39,0,0,5.977081587,EVT00252,3,1
2023-11-29 13:13,toilet_2,13:13:19,13:13:19,0,0,5.702138825,EVT00265,3,1
2023-11-29 14:39,toilet_2,14:39:49,14:39:49,0,0,5.891123497,EVT00266,3,1
2023-11-29 16:12,toilet_2,16:12:58,16:12:58,0,0,5.894820475,EVT00267,3,1
2023-11-29 16:58,toilet,16:58:43,16:58:43,0,0,5.972299549,EVT00253,3,1
2023-11-29 17:32,toilet,17:32:33,17:32:33,0,0,5.717369418,EVT00254,3,1
2023-11-29 18:46,toilet_2,18:46:56,18:46:56,0,0,6.089868948,EVT00268,3,1
2023-11-29 19:02,toilet,19:02:08,19:02:08,0,0,6.132503819,EVT00255,3,1
