Timestamp,Device Name,Start Time,End Time,Duration (s),Flow Rate (L/min),Volume Used (L),Event ID,Occupants
2023-11-26 1:05,bathroom_sink,1:05:26,1:05:36,10.0373875,5.290783281,0.885094033,EVT00002,3
2023-11-26 1:15,kitchen_sink,1:15:56,1:17:58,122.3740314,8.745911842,17.83787484,EVT00043,3
2023-11-26 1:27,toilet_2,1:27:02,1:27:02,0,0,6.192794457,EVT00057,3
2023-11-26 1:39,bathroom_sink_2,1:39:51,1:40:06,15.10983017,5.512074259,1.388108433,EVT00028,3
2023-11-26 1:41,bathroom_sink,1:41:06,1:41:27,21.81567449,5.69523377,2.070756101,EVT00001,3
2023-11-26 1:43,bathroom_sink,1:43:25,1:43:42,17.03561669,6.268029676,1.779662516,EVT00003,3
2023-11-26 2:54,bathroom_sink,2:54:30,2:54:55,25.02196187,5.667938617,2.363715733,EVT00004,3
2023-11-26 3:44,bathroom_sink_2,3:44:03,3:44:23,20.19155381,5.791614228,1.949028172,EVT00029,3
2023-11-26 4:03,bathroom_sink_2,4:03:17,4:03:33,16.20765956,6.169851597,1.66664757,EVT00030,3
2023-11-26 4:14,bathroom_sink,4:14:42,4:14:56,14.75190348,5.861079977,1.441034769,EVT00006,3
2023-11-26 4:40,bathroom_sink,4:40:12,4:40:19,7.248952036,5.55298558,0.670888769,EVT00005,3
2023-11-26 5:33,bathroom_sink,5:33:03,5:33:16,13.22235522,5.209339526,1.147995628,EVT00008,3
2023-11-26 5:44,bathroom_sink,5:44:41,5:45:04,23.00236138,4.818459574,1.847265807,EVT00009,3
2023-11-26 5:50,bathroom_sink,5:50:13,5:50:25,12.84177826,5.60756105,1.20018426,EVT00007,3
2023-11-26 6:00,bathroom_sink_2,6:00:56,6:01:07,11.84125232,6.115282517,1.206876722,EVT00031,3
2023-11-26 6:10,bathroom_sink_2,6:10:09,6:10:28,19.74735953,6.661005725,2.192287914,EVT00032,3
2023-11-26 6:35,bathroom_sink_2,6:35:41,6:35:52,11.01029481,5.440463006,0.998351693,EVT00033,3
2023-11-26 7:03,bathroom_sink_2,7:03:05,7:03:21,16.49690578,5.838691759,1.605339131,EVT00034,3
2023-11-26 7:05,bathroom_sink,7:05:41,7:05:53,12.05076297,5.830114292,1.170955423,EVT00010,3
2023-11-26 7:15,bathroom_sink,7:15:38,7:16:01,23.31253809,6.35386288,2.468744507,EVT00011,3
2023-11-26 7:16,toilet_2,7:16:14,7:16:14,0,0,5.776439557,EVT00058,3
2023-11-26 7:18,toilet_2,7:18:14,7:18:14,0,0,5.780190519,EVT00059,3
2023-11-26 7:18,dishwasher,7:18:46,9:18:46,7200,0,20.42690813,EVT00073,3
2023-11-26 8:05,kitchen_sink,8:05:45,8:08:25,160.6267734,7.479116825,20.02244006,EVT00044,3
2023-11-26 8:06,bathroom_sink,8:06:17,8:06:26,9.909551983,4.803297853,0.793308829,EVT00012,3
2023-11-26 8:14,toilet,8:14:03,8:14:03,0,0,6.114182428,EVT00048,3
2023-11-26 9:03,bathroom_sink,9:03:53,9:04:03,10.66492057,6.440706726,1.144827095,EVT00013,3
2023-11-26 9:05,kitchen_sink,9:05:40,9:07:41,121.3019217,8.257233744,16.69363869,EVT00045,3
2023-11-26 9:06,toilet,9:06:37,9:06:37,0,0,6.117724731,EVT00049,3
2023-11-26 9:09,bathroom_sink_2,9:09:11,9:09:25,14.8962532,6.403339263,1.589762717,EVT00035,3
2023-11-26 9:27,toilet_2,9:27:26,9:27:26,0,0,5.918802491,EVT00062,3
2023-11-26 9:28,bathroom_sink_2,9:28:30,9:28:46,16.11710738,6.179869192,1.660026923,EVT00036,3
2023-11-26 9:38,toilet_2,9:38:37,9:38:37,0,0,5.930231466,EVT00061,3
2023-11-26 9:40,toilet,9:40:44,9:40:44,0,0,6.123293189,EVT00050,3
