Timestamp,Device Name,Start Time,End Time,Duration (s),Flow Rate (L/min),Volume Used (L),Event ID,Occupants,Anomaly
2023-11-30 18:24,bathroom_sink,18:24:32,18:24:56,24.40749875,5.576356664,5,EVT00289,3,1
2023-11-30 18:55,dishwasher,18:55:49,20:55:49,7200,0,5,EVT00345,3,1
2023-11-30 18:55,toilet_2,18:55:58,18:55:58,0,0,5,EVT00340,3,1
2023-11-30 19:16,toilet,19:16:31,19:16:31,0,0,5,EVT00322,3,1
2023-11-30 19:18,toilet_2,19:18:46,19:18:46,0,0,5,EVT00341,3,1
2023-11-30 19:34,bathroom_sink,19:34:14,19:34:41,27.15805306,5.246741277,5,EVT00292,3,1
2023-11-30 19:35,bathroom_sink,19:35:29,19:35:41,12.15251449,4.737422998,5,EVT00291,3,1
2023-11-30 19:52,toilet,19:52:47,19:52:47,0,0,5,EVT00323,3,1
2023-11-30 20:05,toilet,20:05:39,20:05:39,0,0,5,EVT00324,3,1
2023-11-30 20:07,shower,20:07:02,20:16:19,557.8518322,9.580107073,5,EVT00314,3,1
2023-11-30 20:25,bathroom_sink_2,20:25:08,20:25:21,13.75471794,5.303145922,5,EVT00310,3,1
2023-11-30 20:51,bathroom_sink,20:51:29,20:51:38,9.669281282,5.767617159,5,EVT00293,3,1
2023-11-30 20:51,toilet,20:51:31,20:51:31,0,0,5,EVT00325,3,1
2023-11-30 21:25,bathroom_sink,21:25:22,21:25:40,18.07721167,5.136701932,5,EVT00294,3,1
2023-11-30 21:56,toilet_2,21:56:24,21:56:24,0,0,5,EVT00342,3,1
2023-11-30 22:15,bathroom_sink,22:15:37,22:15:59,22.17566496,6.672188706,5,EVT00295,3,1
2023-11-30 22:16,toilet_2,22:16:40,22:16:40,0,0,5,EVT00343,3,1
2023-11-30 23:38,toilet_2,23:38:40,23:38:40,0,0,5,EVT00344,3,1
2023-12-01 0:24,bathroom_sink_2,0:24:18,0:24:36,18.35169173,5.871207704,5,EVT00368,3,1
2023-12-01 0:37,toilet_2,0:37:08,0:37:08,0,0,5,EVT00407,3,1
